Ball_Type,Ball_Name,Ball_Size,Size_Label,Condition,Mass_kg,Velocity_m_s,Energy_J,Peak_Pressure_kPa,PPSI90_Duration_ms
E1,Synthetic Moulded,5,Size 5 (Elite),Damp,0.4501,10,22.51,1.744,0.0758
E1,Synthetic Moulded,5,Size 5 (Elite),Damp,0.4501,14,44.11,3.419,0.1487
E1,Synthetic Moulded,5,Size 5 (Elite),Damp,0.4501,18,72.92,5.651,0.2457
E1,Synthetic Moulded,5,Size 5 (Elite),Damp,0.4501,23,119.05,9.227,0.4012
E1,Synthetic Moulded,5,Size 5 (Elite),Damp,0.4501,28,176.44,13.674,0.5946
E1,Synthetic Moulded,5,Size 5 (Elite),Damp,0.4501,35,275.69,21.366,0.9291
E1,Synthetic Moulded,5,Size 5 (Elite),Wet,0.4632,10,23.16,1.795,0.0781
E1,Synthetic Moulded,5,Size 5 (Elite),Wet,0.4632,14,45.4,3.518,0.153
E1,Synthetic Moulded,5,Size 5 (Elite),Wet,0.4632,18,75.04,5.816,0.2529
E1,Synthetic Moulded,5,Size 5 (Elite),Wet,0.4632,23,122.52,9.495,0.4129
E1,Synthetic Moulded,5,Size 5 (Elite),Wet,0.4632,28,181.58,14.073,0.6119
E1,Synthetic Moulded,5,Size 5 (Elite),Wet,0.4632,35,283.72,21.988,0.9561
F1,Laceless Leather,3,Size 3 (U10),Dry,0.3426,10,17.13,1.134,0.0529
F1,Laceless Leather,3,Size 3 (U10),Dry,0.3426,14,33.57,2.222,0.1037
F1,Laceless Leather,3,Size 3 (U10),Dry,0.3426,18,55.5,3.674,0.1715
F1,Laceless Leather,3,Size 3 (U10),Dry,0.3426,23,90.61,5.998,0.28
F1,Laceless Leather,3,Size 3 (U10),Dry,0.3426,28,134.29,8.89,0.415
F1,Laceless Leather,3,Size 3 (U10),Dry,0.3426,35,209.83,13.891,0.6484
F1,Laceless Leather,3,Size 3 (U10),Damp,0.3529,10,17.64,1.168,0.0545
F1,Laceless Leather,3,Size 3 (U10),Damp,0.3529,14,34.58,2.289,0.1069
F1,Laceless Leather,3,Size 3 (U10),Damp,0.3529,18,57.16,3.784,0.1766
F1,Laceless Leather,3,Size 3 (U10),Damp,0.3529,23,93.33,6.178,0.2884
F1,Laceless Leather,3,Size 3 (U10),Damp,0.3529,28,138.32,9.157,0.4274
F1,Laceless Leather,3,Size 3 (U10),Damp,0.3529,35,216.12,14.307,0.6678
F1,Laceless Leather,3,Size 3 (U10),Wet,0.3631,10,18.16,1.202,0.0561
F1,Laceless Leather,3,Size 3 (U10),Wet,0.3631,14,35.59,2.356,0.11
F1,Laceless Leather,3,Size 3 (U10),Wet,0.3631,18,58.83,3.894,0.1818
F1,Laceless Leather,3,Size 3 (U10),Wet,0.3631,23,96.05,6.358,0.2968
F1,Laceless Leather,3,Size 3 (U10),Wet,0.3631,28,142.35,9.423,0.4399
F1,Laceless Leather,3,Size 3 (U10),Wet,0.3631,35,222.42,14.724,0.6873
F1,Laceless Leather,4,Size 4 (U14),Dry,0.3953,10,19.76,1.308,0.0611
F1,Laceless Leather,4,Size 4 (U14),Dry,0.3953,14,38.74,2.564,0.1197
F1,Laceless Leather,4,Size 4 (U14),Dry,0.3953,18,64.04,4.239,0.1979
